# Timer data started: Tue Apr  6 10:53:34 2021
# timer(10 ns), starts, total starts, total stops
21, 739, 106059, 415
154, 172, 106231, 416
3451, 648, 106879, 417
456, 156, 107035, 418
2428, 533, 107568, 419
1071, 69, 107637, 420
369, 316, 107953, 421
352, 36, 107989, 422
1409, 168, 108157, 423
331, 57, 108214, 424
3668, 417, 108631, 425
190, 6, 108637, 426
298, 38, 108675, 427
405, 196, 108871, 428
382, 25, 108896, 429
3962, 111, 109007, 430
1212, 183, 109190, 431
162, 514, 109704, 432
13, 43, 109747, 433
1840, 48, 109795, 434
150, 89, 109884, 435
203, 414, 110298, 436
172, 108, 110406, 437
307, 170, 110576, 438
2678, 44, 110620, 439
1698, 166, 110786, 440
581, 265, 111051, 441
867, 53, 111104, 442
193, 211, 111315, 443
572, 70, 111385, 444
83, 364, 111749, 445
241, 300, 112049, 446
631, 123, 112172, 447
2668, 10, 112182, 448
3649, 42, 112224, 449
125, 22, 112246, 450
229, 85, 112331, 451
109, 290, 112621, 452
220, 740, 113361, 453
166, 654, 114015, 454
575, 143, 114158, 455
264, 14, 114172, 456
119, 267, 114439, 457
116, 121, 114560, 458
769, 311, 114871, 459
65, 382, 115253, 460
488, 165, 115418, 461
280, 180, 115598, 462
174, 499, 116097, 463
3044, 307, 116404, 464
2920, 250, 116654, 465
404, 346, 117000, 466
115, 58, 117058, 467
724, 160, 117218, 468
75, 193, 117411, 469
2943, 56, 117467, 470
619, 31, 117498, 471
319, 264, 117762, 472
11, 310, 118072, 473
691, 264, 118336, 474
753, 40, 118376, 475
9, 783, 119159, 476
17, 106, 119265, 477
56, 803, 120068, 478
2679, 133, 120201, 479
1086, 38, 120239, 480
582, 373, 120612, 481
2515, 1358, 121970, 482
115, 108, 122078, 483
214, 83, 122161, 484
226, 339, 122500, 485
1199, 41, 122541, 486
567, 390, 122931, 487
555, 62, 122993, 488
113, 175, 123168, 489
131, 68, 123236, 490
912, 68, 123304, 491
943, 603, 123907, 492
1607, 80, 123987, 493
438, 23, 124010, 494
121, 442, 124452, 495
334, 268, 124720, 496
145, 127, 124847, 497
100, 22, 124869, 498
2437, 146, 125015, 499
113, 14, 125029, 500
132, 112, 125141, 501
65, 190, 125331, 502
3388, 38, 125369, 503
45, 368, 125737, 504
3592, 421, 126158, 505
1253, 79, 126237, 506
433, 472, 126709, 507
253, 597, 127306, 508
38, 293, 127599, 509
198, 197, 127796, 510
1015, 16, 127812, 511
2215, 268, 128080, 512
114, 96, 128176, 513
1903, 96, 128272, 514
56, 748, 129020, 515
3677, 190, 129210, 516
1882, 155, 129365, 517
264, 72, 129437, 518
396, 197, 129634, 519
58, 15, 129649, 520
2821, 8, 129657, 521
312, 386, 130043, 522
281, 16, 130059, 523
395, 3, 130062, 524
78, 280, 130342, 525
173, 156, 130498, 526
3385, 11, 130509, 527
502, 185, 130694, 528
175, 727, 131421, 529
3817, 15, 131436, 530
176, 130, 131566, 531
951, 141, 131707, 532
192, 86, 131793, 533
364, 242, 132035, 534
3877, 13, 132048, 535
90, 5, 132053, 536
1141, 73, 132126, 537
49, 289, 132415, 538
41, 2, 132417, 539
4013, 146, 132563, 540
510, 597, 133160, 541
419, 211, 133371, 542
645, 147, 133518, 543
32, 189, 133707, 544
842, 720, 134427, 545
2745, 9, 134436, 546
1423, 153, 134589, 547
217, 57, 134646, 548
28, 39, 134685, 549
440, 268, 134953, 550
86, 213, 135166, 551
2446, 64, 135230, 552
337, 296, 135526, 553
24, 385, 135911, 554
308, 206, 136117, 555
16, 8, 136125, 556
35, 23, 136148, 557
144, 84, 136232, 558
67, 495, 136727, 559
203, 251, 136978, 560
3174, 459, 137437, 561
3564, 401, 137838, 562
2686, 186, 138024, 563
377, 265, 138289, 564
561, 109, 138398, 565
87, 54, 138452, 566
95, 48, 138500, 567
167, 49, 138549, 568
2766, 98, 138647, 569
